"ID","Sex","Twin","Horn","BirthYear","BirthWt","DaysSinceBirth","MumID","MumAge","PopSize","IGF1","PlateNumber","ELISARunDate","StorageTime","CapHour_Tertiles","Weight","ForeLeg","HornLen","BredAsAYearling","Survival"
10593,2,0,3,2016,2.150000095,110,8790,4,444,851.1814639,1,"7/3/2024",7,"Morning",15.3,107,130,0,0
10585,1,0,1,2016,2.400000095,108,8965,4,444,706.00194045,1,"7/3/2024",7,"Afternoon",12.7,108,NA,0,1
11068,2,0,3,2016,NA,108,11806,3,444,841.6779065,1,"7/3/2024",7,NA,12,106,128,0,0
10621,1,0,3,2016,2.5,110,9208,3,444,629.33460545,1,"7/3/2024",7,"Evening",13.1,115,62,1,0
10620,2,0,3,2016,3.099999905,110,8725,4,444,887.5464395,1,"7/3/2024",7,"Evening",16.35,118,161,0,0
10555,2,0,3,2016,2.099999905,110,7560,6,444,631.97423315,1,"7/3/2024",7,"Afternoon",13.6,112,158,0,0
10644,1,0,1,2016,1.75,101,8812,4,444,551.33091865,1,"7/3/2024",7,"Afternoon",11.55,108,NA,0,0
10527,1,0,3,2016,2,113,9246,3,444,657.5434023,1,"7/3/2024",7,"Morning",13.4,109,105,0,1
10517,2,1,3,2016,1.820000052,116,6690,9,444,656.0196803,1,"7/3/2024",7,"Morning",13.4,101,138,0,0
10565,1,0,3,2016,2.5,109,6930,8,444,788.68729025,1,"7/3/2024",7,"Afternoon",11.9,112,73,1,0
10567,1,1,2,2016,1.649999976,109,6644,9,444,757.83668525,1,"7/3/2024",7,"Afternoon",9.05,107,NA,0,1
10589,2,0,3,2016,2.130000114,115,9212,3,444,653.2747005,1,"7/3/2024",7,"Evening",15.05,111,149,0,0
10655,2,1,3,2016,1.769999981,101,6969,8,444,699.3434883,1,"7/3/2024",7,"Morning",12.2,107,77,0,0
10598,1,0,3,2016,2.279999971,112,8749,4,444,619.48685325,1,"7/3/2024",7,"Evening",11.95,114,84,1,1
10635,1,0,1,2016,1.600000024,109,7228,7,444,606.0754787,1,"7/3/2024",7,"Evening",10.45,103,NA,0,0
10553,1,0,1,2016,2.390000105,118,9242,NA,444,433.88357645,1,"7/3/2024",7,"Afternoon",13.9,115,4,1,0
10645,1,0,3,2016,1.899999976,101,9074,3,444,421.2582306,1,"7/3/2024",7,"Morning",10,102,70,1,0
10580,1,0,1,2016,2.680000067,114,9119,3,444,561.4989288,1,"7/3/2024",7,"Evening",14.2,105,NA,0,1
10625,2,0,3,2016,3.200000048,104,7486,6,444,704.15921425,1,"7/3/2024",7,"Morning",16.75,112,173,1,1
10616,2,0,1,2016,1.620000005,105,9769,2,444,644.5676531,1,"7/3/2024",7,"Afternoon",9.85,99,22,0,0
12691,2,0,3,2021,2.25999999,112,9795,7,557,567.5925848,1,"7/3/2024",2,"Evening",13.35,114,167,1,0
12616,2,0,3,2021,2.880000114,117,10347,6,557,690.51367705,1,"7/3/2024",2,"Afternoon",14.3,110,136,0,1
12719,2,1,3,2021,2,110,10622,5,557,595.2715052,1,"7/3/2024",2,"Evening",12.3,106,127,0,0
12561,1,0,2,2021,3.150000095,131,8714,9,557,400.6005574,1,"7/3/2024",2,"Morning",13,107,NA,1,0
12649,2,0,3,2021,2.569999933,122,9240,9,557,406.9004078,1,"7/3/2024",2,"Morning",14.35,111,58,0,0
12722,2,0,1,2021,2.819999933,103,9822,7,557,425.7453961,1,"7/3/2024",2,"Afternoon",12.4,115,3,0,0
12577,2,0,3,2021,2.400000095,114,9023,8,557,620.47260355,1,"7/3/2024",2,"Afternoon",12.15,109,64,0,1
12659,2,0,3,2021,1.669999957,114,9030,8,557,394.8190651,1,"7/3/2024",2,"Afternoon",6.5,95,72,0,0
12699,2,0,3,2021,2.160000086,114,8758,9,557,788.7865017,1,"7/3/2024",2,"Morning",13.3,108,149,0,1
12706,1,0,2,2021,2.299999952,111,11597,3,557,597.3558416,1,"7/3/2024",2,"Afternoon",12.95,108,NA,1,0
12701,2,0,3,2021,2.549999952,109,8780,9,557,808.6980542,1,"7/3/2024",2,"Afternoon",12.55,112,128,0,1
12557,1,1,2,2021,1.610000014,134,10191,6,557,496.1171552,1,"7/3/2024",2,"Morning",9.15,98,NA,0,0
12628,1,0,3,2021,2.619999886,119,10527,5,557,634.9681113,1,"7/3/2024",2,"Morning",17.35,113,95,1,1
12605,1,0,1,2021,3,115,10567,5,557,645.4105916,1,"7/3/2024",2,"Afternoon",14.75,122,2,1,1
12729,1,0,1,2021,2.599999905,111,7157,12,557,470.06740405,1,"7/3/2024",2,"Morning",10.2,107,1,0,0
12710,1,0,1,2021,2.450000048,113,10628,5,557,597.7236722,1,"7/3/2024",2,"Morning",13.3,110,NA,0,1
12672,1,0,1,2021,2.299999952,116,11799,3,557,482.3385022,1,"7/3/2024",2,"Morning",12.9,112,1,1,0
12641,1,0,1,2021,2.099999905,120,11812,3,557,558.0679791,1,"7/3/2024",2,"Evening",10.6,99,2,0,0
12741,1,0,3,2021,3,109,10451,NA,557,596.81233825,2,"7/3/2024",2,"Morning",14.45,114,90,1,0
12617,1,1,1,2021,1.200000048,122,11075,6,557,477.1934582,2,"7/3/2024",2,"Evening",7.65,93,1,0,0
12651,2,0,1,2021,2.819999933,112,10220,6,557,585.81425155,2,"7/3/2024",2,"Afternoon",14.45,118,19,0,1
12682,2,1,3,2021,1.850000024,111,8811,9,557,807.66976835,2,"7/3/2024",2,"Afternoon",15.5,113,166,0,0
12686,1,0,2,2021,2.670000076,117,10216,6,557,607.53974225,2,"7/3/2024",2,"Evening",15,111,NA,1,0
12627,1,0,1,2021,1.639999986,121,11606,3,557,401.08972535,2,"7/3/2024",2,"Evening",10,101,2,0,0
12562,2,0,3,2021,2.49000001,129,11222,4,557,626.12356225,2,"7/3/2024",2,"Morning",18.9,127,171,0,0
12645,1,0,2,2021,2.369999886,113,10180,6,557,506.1747467,2,"7/3/2024",2,"Afternoon",15.05,111,NA,1,0
12694,2,0,3,2021,2.299999952,115,11594,3,557,544.50875375,2,"7/3/2024",2,"Morning",13.95,111,109,0,0
12670,2,1,3,2021,1.470000029,113,8790,9,557,561.40522445,2,"7/3/2024",2,"Evening",7.85,97,70,0,1
12629,2,0,1,2021,2.720000029,114,11571,3,557,543.30500695,2,"7/3/2024",2,"Afternoon",16.7,119,30,0,0
12733,2,1,1,2021,2.25,113,10115,NA,557,764.94656965,2,"7/3/2024",2,"Evening",12.95,107,16,0,0
12868,1,0,2,2021,NA,124,12870,NA,557,629.41514775,2,"7/3/2024",2,"Afternoon",11.95,108,NA,0,1
12690,2,0,3,2021,2.650000095,115,8258,10,557,759.59449625,2,"7/3/2024",2,"Morning",13.15,116,168,0,0
12568,1,0,1,2021,1.809999943,127,11891,2,557,452.07114705,2,"7/3/2024",2,"Afternoon",9.05,104,NA,0,1
12642,1,0,3,2021,2.640000105,120,11202,4,557,586.3148146,2,"7/3/2024",2,"Evening",12.85,115,65,0,1
12615,1,0,2,2021,1.700000048,116,11915,2,557,474.74250585,2,"7/3/2024",2,"Afternoon",10.75,101,NA,0,0
12618,2,1,3,2021,1.720000029,122,11075,6,557,394.96572885,2,"7/3/2024",2,"Afternoon",9.9,101,101,0,0
12744,1,0,3,2021,1.710000038,106,11972,2,557,370.8038662,2,"7/3/2024",2,"Afternoon",8.95,96,67,0,1
12624,2,0,3,2021,1.399999976,107,11998,2,557,476.52699305,2,"7/3/2024",2,"Morning",9.3,97,117,0,0
11072,2,0,3,2016,NA,121,7043,8,444,690.93733815,2,"7/3/2024",7,"Morning",12.25,112,140,0,0
10711,1,0,2,2016,NA,96,9023,3,444,857.523726,2,"7/3/2024",7,"Afternoon",11.85,108,NA,1,0
10519,2,0,1,2016,2.400000095,109,8780,4,444,978.52284175,2,"7/3/2024",7,"Morning",15.25,116,67,0,1
10557,2,1,3,2016,1.809999943,110,7576,6,444,668.88982775,2,"7/3/2024",7,"Morning",12.3,113,131,0,0
10569,2,0,1,2016,1.919999957,110,8758,4,444,496.2974736,2,"7/3/2024",7,"Morning",12.35,106,1,0,0
