"ID","Sex","Twin","Horn","BirthYear","BirthWt","DaysSinceBirth","MumID","MumAge","PopSize","IGF1","PlateNumber","ELISARunDate","StorageTime","CapHour_Tertiles","Weight","ForeLeg","HornLen","BredAsAYearling","Survival"
118,2,0,3,2016,2.150000095,110,117,4,444,851.1814639,1,"7/3/2024",7,"Morning",15.3,107,130,0,0
114,1,0,1,2016,2.400000095,108,126,4,444,706.00194045,1,"7/3/2024",7,"Afternoon",12.7,108,NA,0,1
162,2,0,3,2016,NA,108,261,3,444,841.6779065,1,"7/3/2024",7,NA,12,106,128,0,0
137,1,0,3,2016,2.5,110,144,3,444,629.33460545,1,"7/3/2024",7,"Evening",13.1,115,62,1,0
136,2,0,3,2016,3.099999905,110,100,4,444,887.5464395,1,"7/3/2024",7,"Evening",16.35,118,161,0,0
101,2,0,3,2016,2.099999905,110,75,6,444,631.97423315,1,"7/3/2024",7,"Afternoon",13.6,112,158,0,0
148,1,0,1,2016,1.75,101,123,4,444,551.33091865,1,"7/3/2024",7,"Afternoon",11.55,108,NA,0,0
85,1,0,3,2016,2,113,152,3,444,657.5434023,1,"7/3/2024",7,"Morning",13.4,109,105,0,1
79,2,1,3,2016,1.820000052,116,17,9,444,656.0196803,1,"7/3/2024",7,"Morning",13.4,101,138,0,0
106,1,0,3,2016,2.5,109,26,8,444,788.68729025,1,"7/3/2024",7,"Afternoon",11.9,112,73,1,0
108,1,1,2,2016,1.649999976,109,11,9,444,757.83668525,1,"7/3/2024",7,"Afternoon",9.05,107,NA,0,1
117,2,0,3,2016,2.130000114,115,146,3,444,653.2747005,1,"7/3/2024",7,"Evening",15.05,111,149,0,0
151,2,1,3,2016,1.769999981,101,36,8,444,699.3434883,1,"7/3/2024",7,"Morning",12.2,107,77,0,0
122,1,0,3,2016,2.279999971,112,106,4,444,619.48685325,1,"7/3/2024",7,"Evening",11.95,114,84,1,1
144,1,0,1,2016,1.600000024,109,62,7,444,606.0754787,1,"7/3/2024",7,"Evening",10.45,103,NA,0,0
100,1,0,1,2016,2.390000105,118,151,NA,444,433.88357645,1,"7/3/2024",7,"Afternoon",13.9,115,4,1,0
149,1,0,3,2016,1.899999976,101,134,3,444,421.2582306,1,"7/3/2024",7,"Morning",10,102,70,1,0
113,1,0,1,2016,2.680000067,114,139,3,444,561.4989288,1,"7/3/2024",7,"Evening",14.2,105,NA,0,1
139,2,0,3,2016,3.200000048,104,73,6,444,704.15921425,1,"7/3/2024",7,"Morning",16.75,112,173,1,1
132,2,0,1,2016,1.620000005,105,158,2,444,644.5676531,1,"7/3/2024",7,"Afternoon",9.85,99,22,0,0
550,2,0,3,2021,2.25999999,112,161,7,557,567.5925848,1,"7/3/2024",2,"Evening",13.35,114,167,1,0
515,2,0,3,2021,2.880000114,117,192,6,557,690.51367705,1,"7/3/2024",2,"Afternoon",14.3,110,136,0,1
567,2,1,3,2021,2,110,208,5,557,595.2715052,1,"7/3/2024",2,"Evening",12.3,106,127,0,0
492,1,0,2,2021,3.150000095,131,94,9,557,400.6005574,1,"7/3/2024",2,"Morning",13,107,NA,1,0
532,2,0,3,2021,2.569999933,122,150,9,557,406.9004078,1,"7/3/2024",2,"Morning",14.35,111,58,0,0
569,2,0,1,2021,2.819999933,103,166,7,557,425.7453961,1,"7/3/2024",2,"Afternoon",12.4,115,3,0,0
496,2,0,3,2021,2.400000095,114,128,8,557,620.47260355,1,"7/3/2024",2,"Afternoon",12.15,109,64,0,1
535,2,0,3,2021,1.669999957,114,130,8,557,394.8190651,1,"7/3/2024",2,"Afternoon",6.5,95,72,0,0
556,2,0,3,2021,2.160000086,114,109,9,557,788.7865017,1,"7/3/2024",2,"Morning",13.3,108,149,0,1
561,1,0,2,2021,2.299999952,111,249,3,557,597.3558416,1,"7/3/2024",2,"Afternoon",12.95,108,NA,1,0
557,2,0,3,2021,2.549999952,109,113,9,557,808.6980542,1,"7/3/2024",2,"Afternoon",12.55,112,128,0,1
491,1,1,2,2021,1.610000014,134,181,6,557,496.1171552,1,"7/3/2024",2,"Morning",9.15,98,NA,0,0
524,1,0,3,2021,2.619999886,119,201,5,557,634.9681113,1,"7/3/2024",2,"Morning",17.35,113,95,1,1
510,1,0,1,2021,3,115,203,5,557,645.4105916,1,"7/3/2024",2,"Afternoon",14.75,122,2,1,1
572,1,0,1,2021,2.599999905,111,53,12,557,470.06740405,1,"7/3/2024",2,"Morning",10.2,107,1,0,0
562,1,0,1,2021,2.450000048,113,210,5,557,597.7236722,1,"7/3/2024",2,"Morning",13.3,110,NA,0,1
541,1,0,1,2021,2.299999952,116,257,3,557,482.3385022,1,"7/3/2024",2,"Morning",12.9,112,1,1,0
529,1,0,1,2021,2.099999905,120,264,3,557,558.0679791,1,"7/3/2024",2,"Evening",10.6,99,2,0,0
576,1,0,3,2021,3,109,198,NA,557,596.81233825,2,"7/3/2024",2,"Morning",14.45,114,90,1,0
516,1,1,1,2021,1.200000048,122,214,6,557,477.1934582,2,"7/3/2024",2,"Evening",7.65,93,1,0,0
533,2,0,1,2021,2.819999933,112,184,6,557,585.81425155,2,"7/3/2024",2,"Afternoon",14.45,118,19,0,1
546,2,1,3,2021,1.850000024,111,122,9,557,807.66976835,2,"7/3/2024",2,"Afternoon",15.5,113,166,0,0
548,1,0,2,2021,2.670000076,117,183,6,557,607.53974225,2,"7/3/2024",2,"Evening",15,111,NA,1,0
523,1,0,1,2021,1.639999986,121,251,3,557,401.08972535,2,"7/3/2024",2,"Evening",10,101,2,0,0
493,2,0,3,2021,2.49000001,129,221,4,557,626.12356225,2,"7/3/2024",2,"Morning",18.9,127,171,0,0
531,1,0,2,2021,2.369999886,113,179,6,557,506.1747467,2,"7/3/2024",2,"Afternoon",15.05,111,NA,1,0
552,2,0,3,2021,2.299999952,115,248,3,557,544.50875375,2,"7/3/2024",2,"Morning",13.95,111,109,0,0
539,2,1,3,2021,1.470000029,113,117,9,557,561.40522445,2,"7/3/2024",2,"Evening",7.85,97,70,0,1
525,2,0,1,2021,2.720000029,114,241,3,557,543.30500695,2,"7/3/2024",2,"Afternoon",16.7,119,30,0,0
574,2,1,1,2021,2.25,113,178,NA,557,764.94656965,2,"7/3/2024",2,"Evening",12.95,107,16,0,0
586,1,0,2,2021,NA,124,303,NA,557,629.41514775,2,"7/3/2024",2,"Afternoon",11.95,108,NA,0,1
549,2,0,3,2021,2.650000095,115,86,10,557,759.59449625,2,"7/3/2024",2,"Morning",13.15,116,168,0,0
494,1,0,1,2021,1.809999943,127,268,2,557,452.07114705,2,"7/3/2024",2,"Afternoon",9.05,104,NA,0,1
530,1,0,3,2021,2.640000105,120,220,4,557,586.3148146,2,"7/3/2024",2,"Evening",12.85,115,65,0,1
514,1,0,2,2021,1.700000048,116,269,2,557,474.74250585,2,"7/3/2024",2,"Afternoon",10.75,101,NA,0,0
517,2,1,3,2021,1.720000029,122,214,6,557,394.96572885,2,"7/3/2024",2,"Afternoon",9.9,101,101,0,0
578,1,0,3,2021,1.710000038,106,275,2,557,370.8038662,2,"7/3/2024",2,"Afternoon",8.95,96,67,0,1
521,2,0,3,2021,1.399999976,107,280,2,557,476.52699305,2,"7/3/2024",2,"Morning",9.3,97,117,0,0
165,2,0,3,2016,NA,121,40,8,444,690.93733815,2,"7/3/2024",7,"Morning",12.25,112,140,0,0
157,1,0,2,2016,NA,96,128,3,444,857.523726,2,"7/3/2024",7,"Afternoon",11.85,108,NA,1,0
81,2,0,1,2016,2.400000095,109,113,4,444,978.52284175,2,"7/3/2024",7,"Morning",15.25,116,67,0,1
103,2,1,3,2016,1.809999943,110,79,6,444,668.88982775,2,"7/3/2024",7,"Morning",12.3,113,131,0,0
109,2,0,1,2016,1.919999957,110,109,4,444,496.2974736,2,"7/3/2024",7,"Morning",12.35,106,1,0,0
83,1,0,2,2016,2.339999914,114,122,4,444,689.94960315,2,"7/3/2024",7,"Afternoon",12.95,114,NA,1,0
119,1,0,2,2016,2.279999971,107,71,6,444,644.34702335,2,"7/3/2024",7,"Afternoon",12.6,111,NA,1,1
166,2,0,3,2016,NA,121,121,4,444,817.8213654,2,"7/3/2024",7,"Afternoon",10.25,111,85,0,0
164,2,0,3,2016,NA,111,76,6,444,733.95170915,2,"7/3/2024",7,NA,10.4,104,69,0,0
147,2,0,3,2016,2.75,107,196,NA,444,593.01265175,2,"7/3/2024",7,"Evening",15.35,112,159,0,0
133,1,0,1,2016,3.150000095,111,93,4,444,683.97413605,2,"7/3/2024",7,"Evening",12.9,111,3,1,0
124,1,0,2,2016,1.960000038,112,155,NA,444,589.57567005,2,"7/3/2024",7,"Evening",12.35,114,NA,0,0
87,1,0,3,2016,2.230000019,118,198,NA,444,738.36940425,2,"7/3/2024",7,"Evening",13.15,108,93,0,0
84,2,0,3,2016,2.25,113,101,4,444,685.68052405,2,"7/3/2024",7,"Morning",14.75,111,121,0,NA
140,1,0,1,2016,2.369999886,104,74,6,444,554.41959895,2,"7/3/2024",7,"Afternoon",12.55,114,1,0,1
142,2,0,3,2016,2.329999924,103,105,4,444,696.83481845,2,"7/3/2024",7,"Morning",13.55,111,134,0,1
110,1,1,2,2016,1.379999995,115,20,8,444,529.87599215,2,"7/3/2024",7,"Evening",9.05,100,NA,0,0
121,2,0,3,2016,2.099999905,106,37,8,444,927.1574956,2,"7/3/2024",7,"Morning",14.55,106,176,1,1
150,1,0,1,2016,1.110000014,97,68,6,444,775.65533885,3,"7/3/2024",7,"Morning",10.3,98,1,0,NA
152,1,0,2,2016,1.600000024,98,14,9,444,345.17955285,3,"7/3/2024",7,"Afternoon",8.7,98,NA,0,0
86,2,0,3,2016,2.25,113,143,3,444,712.76997845,3,"7/3/2024",7,"Morning",14.45,112,104,0,0
98,2,0,3,2016,2.039999962,112,95,4,444,617.03160445,3,"7/3/2024",7,NA,15.05,110,123,0,0
80,1,0,1,2016,1.799999952,114,104,4,444,399.4220341,3,"7/3/2024",7,"Afternoon",10.95,104,1,0,1
160,1,0,2,2016,NA,121,57,7,444,1106.4856,3,"7/3/2024",7,"Afternoon",10.05,105,NA,1,0
96,1,0,2,2016,2.25,111,107,4,444,448.0601204,3,"7/3/2024",7,"Afternoon",12,112,NA,1,1
127,1,0,3,2016,2.519999981,105,78,6,444,558.15917365,3,"7/3/2024",7,"Afternoon",13.8,110,115,0,0
138,1,0,2,2016,2.549999952,106,31,8,444,894.7806078,3,"7/3/2024",7,"Morning",14.85,119,NA,1,1
97,1,0,2,2016,2.299999952,111,55,7,444,816.8666924,3,"7/3/2024",7,"Afternoon",13.15,116,NA,1,NA
82,1,0,1,2016,1.950000048,122,138,3,444,898.0018565,3,"7/3/2024",7,"Afternoon",12.05,108,NA,1,0
88,2,0,3,2016,2.180000067,121,110,4,444,704.05795865,3,"7/3/2024",7,"Evening",14.7,111,144,NA,0
128,2,0,3,2016,2.150000095,113,150,4,444,600.46300775,3,"7/3/2024",7,"Evening",17.7,115,114,0,NA
131,2,0,3,2016,1.570000052,105,172,2,444,538.1395059,3,"7/3/2024",7,"Morning",10.55,101,76,0,0
